model,horizon_minutes,n,n_markets,brier,brier_ci_lo,brier_ci_hi,log_loss,calib_intercept,calib_slope
constant_50,2,1850,1850,0.25,0.25,0.25,0.6931471805599452,0.006275692696640159,0.0
full_feature_model,2,1850,1850,0.04032152203268286,0.03474325015009226,0.04609970776228928,0.13629129361774495,0.08074477688473618,1.1943238083707342
isotonic_calibration,2,1850,1850,0.04112311203538569,0.035628754779409445,0.047199677999588754,0.151423148876042,-0.014990666497479856,0.9518612488777044
logistic_calibration,2,1850,1850,0.04085081423127544,0.035195122990391736,0.04669154532066524,0.13767263373856303,0.010719546088919668,1.1000058754118325
raw_probability,2,1850,1850,0.04075466648648649,0.035255786185810815,0.046548234625,0.13764184507074742,0.051569175362068134,1.1580236646816096
constant_50,5,1850,1850,0.25,0.25,0.25,0.6931471805599452,0.006275692696640159,0.0
full_feature_model,5,1850,1850,0.06328879688977351,0.0563396972295006,0.0700453083485504,0.20887798757238887,0.04414381659552927,1.0703973917228635
isotonic_calibration,5,1850,1850,0.0642863505308757,0.05697744670250773,0.0716460248149421,0.23199005769772862,-0.04347807971486814,0.8651264813524161
logistic_calibration,5,1850,1850,0.06334413498159634,0.05629205350303068,0.07033159906018437,0.20904241131161616,-0.021256320718272565,1.0183836190220827
raw_probability,5,1850,1850,0.06313894513513513,0.0562770290945946,0.0700954412027027,0.20844153921537786,0.013652576678506355,1.070853915395574
constant_50,15,1847,1847,0.25,0.25,0.25,0.6931471805599453,0.003141894711731839,0.0
full_feature_model,15,1847,1847,0.1105882507903265,0.10196672141284285,0.11904743734652042,0.34714603471027083,-0.03662724603597261,1.0855925465589487
isotonic_calibration,15,1847,1847,0.11339525898081737,0.10467468931616326,0.12195390230429247,0.3546600965719489,-0.07838348014187121,0.9896368323871269
logistic_calibration,15,1847,1847,0.11218095850935862,0.10361822966679562,0.12063296489274794,0.35033804427479975,-0.08270754794140638,1.0446993614118405
raw_probability,15,1847,1847,0.11144185503519222,0.10307890739713048,0.11975053091838116,0.34892005908742285,-0.04876415598446056,1.1072754726635254
constant_50,30,1846,1846,0.25,0.25,0.25,0.6931471805599453,0.0041919307704473266,0.0
full_feature_model,30,1846,1846,0.1692834194189723,0.1608069238837981,0.1779391197688946,0.5066726862357541,0.0009196903614637794,0.9855394302984839
isotonic_calibration,30,1846,1846,0.17174701378290996,0.1632334003731905,0.18068288385938105,0.5144273401786842,-0.025063061818089948,0.9488126485002397
logistic_calibration,30,1846,1846,0.16956457179590875,0.16053637075672397,0.17838371422580757,0.5076778976704277,-0.03443992038638386,1.0039750208219749
raw_probability,30,1846,1846,0.16892741291982666,0.16052638339314734,0.1773806997325298,0.5060955615708997,-0.0005955158062054517,1.0649788924886925
constant_50,45,1845,1845,0.25,0.25,0.25,0.6931471805599452,0.005243340347365061,0.0
full_feature_model,45,1845,1845,0.21467704744101077,0.2065091054216214,0.22267179742752843,0.6200443188388068,-0.012695488068181215,0.7943180931744456
isotonic_calibration,45,1845,1845,0.21565300864133677,0.20825090676690855,0.22317360972584577,0.6207929024622592,-0.03061650298726172,0.8773445495625716
logistic_calibration,45,1845,1845,0.21428137489682683,0.20646628220969104,0.2215838565980422,0.6175641037715761,-0.03537973064129317,0.9140337202270811
raw_probability,45,1845,1845,0.21340398929539295,0.2061025648373984,0.22066170880758806,0.6151935104459623,-0.004715592305010983,0.9791484518820316
