model,horizon_hours,n,n_markets,brier,brier_ci_lo,brier_ci_hi,log_loss,calib_intercept,calib_slope
constant_50,1,475,475,0.25,0.25,0.25,0.6931471805599453,0.10535602407655982,0.0
full_feature_model,1,475,475,0.06267380788281426,0.04758961289220852,0.07933322027917815,0.21112444864843166,0.26384814105827775,0.9352188802422065
isotonic_calibration,1,475,475,0.06694491282595684,0.05097707052406908,0.08312843936286751,0.30539273339639295,0.09570731027965611,0.4602720040636141
logistic_calibration,1,475,475,0.06353315476180166,0.0482306302822793,0.07972810887308111,0.21142570666000535,0.10430833303222783,0.910983693838587
raw_probability,1,475,475,0.06247908684210526,0.04832173389473684,0.07767491010526316,0.20862094427532485,0.0963267112833904,1.0930005255020088
constant_50,3,473,473,0.25,0.25,0.25,0.6931471805599453,0.11428360083202303,0.0
full_feature_model,3,473,473,0.11446026623588774,0.0980539315963415,0.1325544729736097,0.35480832224227044,0.0825877477754425,0.9333278714781631
isotonic_calibration,3,473,473,0.11384300398683347,0.09678281029771664,0.1318453843042503,0.4143334060413577,0.09555423373268179,0.6295348755916246
logistic_calibration,3,473,473,0.11217302859918009,0.09564078074164956,0.13000894372747884,0.35017272996148147,0.018168634810679648,0.9489641311606518
raw_probability,3,473,473,0.11123201215644819,0.09627611753435517,0.12811502778805497,0.3481512127155585,0.016842303188362794,1.1411396432059893
constant_50,6,475,475,0.25,0.25,0.25,0.6931471805599453,0.10535602407655982,0.0
full_feature_model,6,475,475,0.14308851896865518,0.12525107233981456,0.16249453323925928,0.44133292507536753,0.05793696993210554,0.8724564647893276
isotonic_calibration,6,475,475,0.14344802493523856,0.12584329284493315,0.16220420283862463,0.48299624525982754,0.07284061484623626,0.6450092109967678
logistic_calibration,6,475,475,0.1425043863664928,0.12478397002945538,0.16066807360093405,0.43978944884059407,0.026975195446480547,0.8745390844699293
raw_probability,6,475,475,0.1412349657894737,0.12530357594736843,0.1581768918157895,0.43483031226625146,0.02843155714458433,1.04750006335304
constant_50,12,474,474,0.25,0.25,0.25,0.6931471805599453,0.10134843682965422,0.0
full_feature_model,12,474,474,0.18559211198665748,0.16726982992105927,0.20493621370808346,0.5532797973208397,0.010776031277212893,0.8180362017739714
isotonic_calibration,12,474,474,0.18721309444506842,0.16896391189715465,0.20615183765356151,0.5968913628461621,0.057512557615779364,0.5853540610697049
logistic_calibration,12,474,474,0.18767264474721757,0.1687036471617296,0.20679733920820978,0.5538805109436666,0.020905361051869343,0.8145027712261327
raw_probability,12,474,474,0.18507529061181432,0.16765246220991561,0.20166854231276368,0.5460232754900843,0.019535813166152428,0.991879679114881
constant_50,24,471,471,0.25,0.25,0.25,0.6931471805599453,0.09773859759916143,0.0
full_feature_model,24,471,471,0.2568159908650776,0.24814401510102638,0.2662222489737066,0.7115277461052142,0.09446518544887399,0.0365779609090047
isotonic_calibration,24,471,471,0.2508112594365967,0.24629041956861228,0.2558960718518143,0.6948233422942433,0.07856433403594344,0.1965800371516
logistic_calibration,24,471,471,0.25021582539077525,0.24770804670376234,0.2530195063114628,0.6936260088358568,0.09393401232275146,0.19046710194625352
raw_probability,24,471,471,0.24953200636942674,0.2480004843418259,0.25122893312101907,0.6922312904796399,0.08080271353488429,0.953712206448872
