slug,side,stake,buy_price,n_contracts,opened_at,resolves_at,horizon,edge,won,gross_payout,fee_cost,pnl_net,family
bitcoin-up-or-down-on-september-3-2026,buy_yes,398.6014989,0.51,781.5715664705883,2026-09-02 16:02:17.502550+00:00,2026-09-03 15:59:59.999999999+00:00,24.0,0.05783486619554212,True,781.5715664705883,0.0,382.9700675705883,daily
bitcoin-up-or-down-on-september-4-2026,buy_yes,147.8614982,0.51,289.9245062745098,2026-09-03 16:01:56.815506+00:00,2026-09-04 15:59:59.999999998+00:00,24.0,0.1967105725093825,False,0.0,0.0,-147.8614982,daily
bitcoin-up-or-down-on-september-5-2026,buy_yes,1332.983516141345,0.67,1989.527636031858,2026-09-05 04:02:04.683280+00:00,2026-09-05 16:00:00.000000001+00:00,12.0,0.043885277983433224,True,1989.527636031858,0.0,656.544119890513,daily
bitcoin-up-or-down-on-september-6-2026,buy_yes,26.503884900000003,0.53,50.00733,2026-09-05 16:02:02.208685+00:00,2026-09-06 16:00:00.000000001+00:00,24.0,0.0953159812898533,False,0.0,0.0,-26.503884900000003,daily
bitcoin-up-or-down-on-september-7-2026,buy_yes,20.906183300000002,0.5,41.812366600000004,2026-09-06 16:01:53.997148+00:00,2026-09-07 16:00:00.000000001+00:00,24.0,0.0696111769363913,False,0.0,0.0,-20.906183300000002,daily
bitcoin-up-or-down-september-2-2026-5am-et,buy_no,449.7875,0.76,591.8256578947369,2026-09-02 09:32:29.732610+00:00,2026-09-02 09:59:59.999999998+00:00,0.5,0.0844126017702983,True,591.8256578947369,0.0,142.03815789473686,hourly
bitcoin-up-or-down-september-2-2026-6am-et,buy_no,151.83255440000002,0.6799999999999999,223.28316823529417,2026-09-02 10:12:45.027820+00:00,2026-09-02 10:59:59.999999999+00:00,0.75,0.08683902031115398,True,223.28316823529417,0.0,71.45061383529415,hourly
bitcoin-up-or-down-september-2-2026-7am-et,buy_no,372.600848,0.51,730.5898980392157,2026-09-02 11:12:46.117897+00:00,2026-09-02 12:00:00.000000001+00:00,0.75,0.053320108813058154,False,0.0,0.0,-372.600848,hourly
bitcoin-up-or-down-september-2-2026-8am-et,buy_no,139.2146954,0.51,272.9699909803922,2026-09-02 12:12:11.071127+00:00,2026-09-02 12:59:59.999999998+00:00,0.75,0.04000497194936292,True,272.9699909803922,0.0,133.7552955803922,hourly
bitcoin-up-or-down-september-2-2026-9am-et,buy_no,149.496,0.39,383.32307692307694,2026-09-02 13:32:38.730676+00:00,2026-09-02 14:00:00.000000001+00:00,0.5,0.0632183214718961,False,0.0,0.0,-149.496,hourly
bitcoin-up-or-down-september-2-2026-10am-et,buy_no,29.79296560000001,0.43000000000000005,69.28596651162792,2026-09-02 14:12:45.999229+00:00,2026-09-02 15:00:00+00:00,0.75,0.03220040648825795,True,69.28596651162792,0.0,39.49300091162791,hourly
bitcoin-up-or-down-september-2-2026-11am-et,buy_no,60.4933232,0.8,75.616654,2026-09-02 15:13:23.805207+00:00,2026-09-02 15:59:59.999999998+00:00,0.75,0.10692396338802745,False,0.0,0.0,-60.4933232,hourly
bitcoin-up-or-down-september-2-2026-12pm-et,buy_no,231.98667189999998,0.43999999999999995,527.2424361363636,2026-09-02 16:12:20.983458+00:00,2026-09-02 17:00:00.000000001+00:00,0.75,0.07950494960363397,True,527.2424361363636,0.0,295.25576423636363,hourly
bitcoin-up-or-down-september-2-2026-1pm-et,buy_no,70.5599145,0.52,135.69214326923077,2026-09-02 17:12:10.435335+00:00,2026-09-02 17:59:59.999999998+00:00,0.75,0.13543778882779034,False,0.0,0.0,-70.5599145,hourly
bitcoin-up-or-down-september-2-2026-2pm-et,buy_no,288.6055807,0.45999999999999996,627.4034363043479,2026-09-02 18:12:46.116568+00:00,2026-09-02 18:59:59.999999999+00:00,0.75,0.09195623124861396,True,627.4034363043479,0.0,338.7978556043479,hourly
bitcoin-up-or-down-september-2-2026-3pm-et,buy_no,5.918235,0.61,9.702024590163935,2026-09-02 19:12:57.017569+00:00,2026-09-02 20:00:00+00:00,0.75,0.11858972903993525,True,9.702024590163935,0.0,3.783789590163935,hourly
bitcoin-up-or-down-september-2-2026-4pm-et,buy_no,55.580133200000006,0.43999999999999995,126.31848454545458,2026-09-02 20:12:15.338982+00:00,2026-09-02 21:00:00.000000001+00:00,0.75,0.06553339394432744,False,0.0,0.0,-55.580133200000006,hourly
bitcoin-up-or-down-september-2-2026-5pm-et,buy_no,19.3064506,0.62,31.139436451612905,2026-09-02 21:12:54.000459+00:00,2026-09-02 22:00:00+00:00,0.75,0.10751845549434924,True,31.139436451612905,0.0,11.832985851612904,hourly
bitcoin-up-or-down-september-2-2026-6pm-et,buy_no,2.3630000000000004,0.72,3.281944444444445,2026-09-02 22:12:56.736801+00:00,2026-09-02 23:00:00+00:00,0.75,0.08617391453696133,True,3.281944444444445,0.0,0.9189444444444446,hourly
bitcoin-up-or-down-september-2-2026-7pm-et,buy_no,161.3895,0.18000000000000005,896.6083333333331,2026-09-02 23:42:15.807243+00:00,2026-09-03 00:00:00.000000001+00:00,0.25,0.03139773988664907,False,0.0,0.0,-161.3895,hourly
bitcoin-up-or-down-september-2-2026-8pm-et,buy_no,89.0720963,0.6799999999999999,130.9883769117647,2026-09-03 00:12:16.710688+00:00,2026-09-03 00:59:59.999999999+00:00,0.75,0.08248672266348245,True,130.9883769117647,0.0,41.916280611764705,hourly
bitcoin-up-or-down-september-2-2026-10pm-et,buy_no,10.888235000000002,0.51,21.349480392156867,2026-09-03 02:12:53.713062+00:00,2026-09-03 03:00:00+00:00,0.75,0.061919416066084865,False,0.0,0.0,-10.888235000000002,hourly
bitcoin-up-or-down-september-2-2026-11pm-et,buy_no,74.5988122,0.69,108.11422057971015,2026-09-03 03:13:02.531352+00:00,2026-09-03 04:00:00+00:00,0.75,0.09312698874579972,True,108.11422057971015,0.0,33.51540837971015,hourly
bitcoin-up-or-down-september-3-2026-12am-et,buy_no,40.25194640000001,0.36,111.81096222222224,2026-09-03 04:12:08.764777+00:00,2026-09-03 04:59:59.999999999+00:00,0.75,0.06023480887764909,False,0.0,0.0,-40.25194640000001,hourly
bitcoin-up-or-down-september-3-2026-1am-et,buy_no,47.00760230000001,0.71,66.2078905633803,2026-09-03 05:12:26.353390+00:00,2026-09-03 06:00:00+00:00,0.75,0.0936477867208304,False,0.0,0.0,-47.00760230000001,hourly
bitcoin-up-or-down-september-3-2026-2am-et,buy_no,21.793578200000002,0.6799999999999999,32.04937970588236,2026-09-03 06:13:03.950994+00:00,2026-09-03 07:00:00+00:00,0.75,0.10125799014688597,False,0.0,0.0,-21.793578200000002,hourly
bitcoin-up-or-down-september-3-2026-3am-et,buy_no,213.4408,0.43000000000000005,496.373953488372,2026-09-03 07:33:13.770241+00:00,2026-09-03 08:00:00.000000001+00:00,0.5,0.08411791726862738,True,496.373953488372,0.0,282.933153488372,hourly
bitcoin-up-or-down-september-3-2026-4am-et,buy_no,89.55498,0.12,746.2915,2026-09-03 08:52:22.815131+00:00,2026-09-03 08:59:59.999999998+00:00,0.08333333333333333,0.04832351289007175,False,0.0,0.0,-89.55498,hourly
