slug,side,stake,buy_price,n_contracts,opened_at,resolves_at,horizon,edge,won,gross_payout,fee_cost,pnl_net,family
bitcoin-up-or-down-on-september-3-2026,buy_yes,398.6014989,0.51,781.5715664705883,2026-09-02 16:02:17.502550+00:00,2026-09-03 15:59:59.999999999+00:00,24.0,0.07203689280437864,True,781.5715664705883,0.0,382.9700675705883,daily
bitcoin-up-or-down-on-september-4-2026,buy_yes,147.8614982,0.51,289.9245062745098,2026-09-03 16:01:56.815506+00:00,2026-09-04 15:59:59.999999998+00:00,24.0,0.08834155837628876,False,0.0,0.0,-147.8614982,daily
bitcoin-up-or-down-on-september-5-2026,buy_yes,1558.0298816881061,0.67,2325.4177338628447,2026-09-05 04:02:04.683280+00:00,2026-09-05 16:00:00.000000001+00:00,12.0,0.051294388592520224,True,2325.4177338628447,0.0,767.3878521747386,daily
bitcoin-up-or-down-on-september-6-2026,buy_yes,26.503884900000003,0.53,50.00733,2026-09-05 16:02:02.208685+00:00,2026-09-06 16:00:00.000000001+00:00,24.0,0.09982965436108338,False,0.0,0.0,-26.503884900000003,daily
bitcoin-up-or-down-on-september-7-2026,buy_yes,20.906183300000002,0.5,41.812366600000004,2026-09-06 16:01:53.997148+00:00,2026-09-07 16:00:00.000000001+00:00,24.0,0.036325517366918914,False,0.0,0.0,-20.906183300000002,daily
bitcoin-up-or-down-september-2-2026-5am-et,buy_no,449.7875,0.76,591.8256578947369,2026-09-02 09:32:29.732610+00:00,2026-09-02 09:59:59.999999998+00:00,0.5,0.10881948643701556,True,591.8256578947369,0.0,142.03815789473686,hourly
bitcoin-up-or-down-september-2-2026-6am-et,buy_no,151.83255440000002,0.6799999999999999,223.28316823529417,2026-09-02 10:12:45.027820+00:00,2026-09-02 10:59:59.999999999+00:00,0.75,0.10655697680304166,True,223.28316823529417,0.0,71.45061383529415,hourly
bitcoin-up-or-down-september-2-2026-7am-et,buy_yes,112.53000000000002,0.54,208.3888888888889,2026-09-02 11:42:59.130554+00:00,2026-09-02 11:59:59.999999999+00:00,0.25,0.12107153017003558,True,208.3888888888889,0.0,95.8588888888889,hourly
bitcoin-up-or-down-september-2-2026-8am-et,buy_no,779.3181,0.42000000000000004,1855.5192857142854,2026-09-02 12:42:58.270043+00:00,2026-09-02 12:59:59.999999998+00:00,0.25,0.09287321338224597,True,1855.5192857142854,0.0,1076.2011857142854,hourly
bitcoin-up-or-down-september-2-2026-9am-et,buy_no,149.496,0.39,383.32307692307694,2026-09-02 13:32:38.730676+00:00,2026-09-02 14:00:00.000000001+00:00,0.5,0.05817637398145381,False,0.0,0.0,-149.496,hourly
bitcoin-up-or-down-september-2-2026-10am-et,buy_yes,29.79296560000001,0.58,51.36718206896553,2026-09-02 14:12:45.999229+00:00,2026-09-02 15:00:00+00:00,0.75,0.05807426515051484,False,0.0,0.0,-29.79296560000001,hourly
bitcoin-up-or-down-september-2-2026-11am-et,buy_no,60.4933232,0.8,75.616654,2026-09-02 15:13:23.805207+00:00,2026-09-02 15:59:59.999999998+00:00,0.75,0.12531459040331572,False,0.0,0.0,-60.4933232,hourly
bitcoin-up-or-down-september-2-2026-12pm-et,buy_no,193.89999999999998,0.42000000000000004,461.6666666666666,2026-09-02 16:43:12.033874+00:00,2026-09-02 17:00:00.000000001+00:00,0.25,0.17336984933605604,True,461.6666666666666,0.0,267.7666666666666,hourly
bitcoin-up-or-down-september-2-2026-1pm-et,buy_no,70.5599145,0.52,135.69214326923077,2026-09-02 17:12:10.435335+00:00,2026-09-02 17:59:59.999999998+00:00,0.75,0.13365920064260184,False,0.0,0.0,-70.5599145,hourly
bitcoin-up-or-down-september-2-2026-2pm-et,buy_no,288.6055807,0.45999999999999996,627.4034363043479,2026-09-02 18:12:46.116568+00:00,2026-09-02 18:59:59.999999999+00:00,0.75,0.03591491692448645,True,627.4034363043479,0.0,338.7978556043479,hourly
bitcoin-up-or-down-september-2-2026-3pm-et,buy_no,5.918235,0.61,9.702024590163935,2026-09-02 19:12:57.017569+00:00,2026-09-02 20:00:00+00:00,0.75,0.05887139800465635,True,9.702024590163935,0.0,3.783789590163935,hourly
bitcoin-up-or-down-september-2-2026-4pm-et,buy_yes,55.580133200000006,0.57,97.5090056140351,2026-09-02 20:12:15.338982+00:00,2026-09-02 21:00:00.000000001+00:00,0.75,0.03095500001463114,True,97.5090056140351,0.0,41.9288724140351,hourly
bitcoin-up-or-down-september-2-2026-5pm-et,buy_no,19.3064506,0.62,31.139436451612905,2026-09-02 21:12:54.000459+00:00,2026-09-02 22:00:00+00:00,0.75,0.08791667206014797,True,31.139436451612905,0.0,11.832985851612904,hourly
bitcoin-up-or-down-september-2-2026-6pm-et,buy_no,2.3630000000000004,0.72,3.281944444444445,2026-09-02 22:12:56.736801+00:00,2026-09-02 23:00:00+00:00,0.75,0.08023294557643501,True,3.281944444444445,0.0,0.9189444444444446,hourly
bitcoin-up-or-down-september-2-2026-8pm-et,buy_no,89.0720963,0.6799999999999999,130.9883769117647,2026-09-03 00:12:16.710688+00:00,2026-09-03 00:59:59.999999999+00:00,0.75,0.059558792541373085,True,130.9883769117647,0.0,41.916280611764705,hourly
bitcoin-up-or-down-september-2-2026-9pm-et,buy_yes,87.83574550000002,0.88,99.81334715909092,2026-09-03 01:12:44.534875+00:00,2026-09-03 02:00:00+00:00,0.75,0.04473899839556561,True,99.81334715909092,0.0,11.977601659090908,hourly
bitcoin-up-or-down-september-2-2026-10pm-et,buy_no,10.888235000000002,0.51,21.349480392156867,2026-09-03 02:12:53.713062+00:00,2026-09-03 03:00:00+00:00,0.75,0.05604267492943538,False,0.0,0.0,-10.888235000000002,hourly
bitcoin-up-or-down-september-2-2026-11pm-et,buy_no,74.5988122,0.69,108.11422057971015,2026-09-03 03:13:02.531352+00:00,2026-09-03 04:00:00+00:00,0.75,0.03249155187273367,True,108.11422057971015,0.0,33.51540837971015,hourly
bitcoin-up-or-down-september-3-2026-12am-et,buy_no,40.25194640000001,0.36,111.81096222222224,2026-09-03 04:12:08.764777+00:00,2026-09-03 04:59:59.999999999+00:00,0.75,0.03598399715002076,False,0.0,0.0,-40.25194640000001,hourly
bitcoin-up-or-down-september-3-2026-1am-et,buy_no,47.00760230000001,0.71,66.2078905633803,2026-09-03 05:12:26.353390+00:00,2026-09-03 06:00:00+00:00,0.75,0.07248948004678524,False,0.0,0.0,-47.00760230000001,hourly
bitcoin-up-or-down-september-3-2026-2am-et,buy_no,21.793578200000002,0.6799999999999999,32.04937970588236,2026-09-03 06:13:03.950994+00:00,2026-09-03 07:00:00+00:00,0.75,0.0833353043842675,False,0.0,0.0,-21.793578200000002,hourly
bitcoin-up-or-down-september-3-2026-3am-et,buy_yes,9.129251100000001,0.83,10.999097710843376,2026-09-03 07:12:18.152203+00:00,2026-09-03 08:00:00+00:00,0.75,0.048417530880706994,False,0.0,0.0,-9.129251100000001,hourly
bitcoin-up-or-down-september-3-2026-4am-et,buy_yes,262.1259451,0.88,297.87039215909095,2026-09-03 08:12:24.382010+00:00,2026-09-03 08:59:59.999999998+00:00,0.75,0.03379244173267648,True,297.87039215909095,0.0,35.74444705909093,hourly
bitcoin-up-or-down-september-3-2026-5am-et,buy_no,559.0141455,0.77,725.9923967532468,2026-09-03 09:33:06.289942+00:00,2026-09-03 10:00:00+00:00,0.5,0.06385119399276062,True,725.9923967532468,0.0,166.97825125324675,hourly
